Sub Region,Country,Drug,Year,Wholesale Price,Retail Price
Western and Central Europe,Austria,Cocaine,1990-01-01,66000.0,198.0
Western and Central Europe,Austria,Cocaine,1991-01-01,66000.0,180.0
Western and Central Europe,Austria,Cocaine,1992-01-01,54000.0,167.0
Western and Central Europe,Austria,Cocaine,1993-01-01,40000.0,120.0
Western and Central Europe,Austria,Cocaine,1994-01-01,41946.0,126.0
Western and Central Europe,Austria,Cocaine,1995-01-01,52084.0,156.0
Western and Central Europe,Austria,Cocaine,1996-01-01,45875.0,138.0
Western and Central Europe,Austria,Cocaine,1997-01-01,56723.0,118.0
Western and Central Europe,Austria,Cocaine,1998-01-01,54440.0,113.0
Western and Central Europe,Austria,Cocaine,1999-01-01,38859.0,93.0
Western and Central Europe,Austria,Cocaine,2000-01-01,47094.0,94.0
Western and Central Europe,Austria,Cocaine,2001-01-01,43995.0,78.0
Western and Central Europe,Austria,Cocaine,2002-01-01,42385.0,71.0
Western and Central Europe,Austria,Cocaine,2003-01-01,59300.0,90.0
Western and Central Europe,Austria,Cocaine,2004-01-01,55894.0,103.0
Western and Central Europe,Austria,Cocaine,2005-01-01,59757.0,101.0
Western and Central Europe,Austria,Cocaine,2006-01-01,50185.0,78.0
Western and Central Europe,Austria,Cocaine,2007-01-01,61661.0,99.0
Western and Central Europe,Austria,Cocaine,2008-01-01,66176.0,110.0
Western and Central Europe,Austria,Cocaine,2009-01-01,48668.0,97.0
Western and Central Europe,Austria,Cocaine,2010-01-01,52989.0,97.0
Western and Central Europe,Austria,Cocaine,2011-01-01,62823.0,103.0
Western and Central Europe,Austria,Cocaine,2012-01-01,51546.0,103.0
Western and Central Europe,Austria,Cocaine,2013-01-01,73351.0,100.0
Western and Central Europe,Austria,Cocaine,2014-01-01,65797.0,132.0
Western and Central Europe,Austria,Cocaine,2015-01-01,54705.0,109.0
Western and Central Europe,Austria,Cocaine,2016-01-01,58139.54,111.0
Western and Central Europe,Austria,Cocaine,2017-01-01,58922.56,111.0
Western and Central Europe,Austria,Cocaine,2018-01-01,58922.56,111.0
Western and Central Europe,Austria,Cocaine,2019-01-01,58922.56,111.0
