Sub Region,Country,Drug,Year,Wholesale Price,Retail Price
Western and Central Europe,Austria,Heroin,1990-01-01,55244.0,270.0
Western and Central Europe,Austria,Heroin,1991-01-01,46145.0,250.0
Western and Central Europe,Austria,Heroin,1992-01-01,63000.0,203.0
Western and Central Europe,Austria,Heroin,1993-01-01,36000.0,132.0
Western and Central Europe,Austria,Heroin,1994-01-01,37752.0,138.0
Western and Central Europe,Austria,Heroin,1995-01-01,30491.0,103.0
Western and Central Europe,Austria,Heroin,1996-01-01,30222.0,87.0
Western and Central Europe,Austria,Heroin,1997-01-01,28831.0,70.0
Western and Central Europe,Austria,Heroin,1998-01-01,34565.0,94.0
Western and Central Europe,Austria,Heroin,1999-01-01,31087.0,57.0
Western and Central Europe,Austria,Heroin,2000-01-01,25026.0,75.0
Western and Central Europe,Austria,Heroin,2001-01-01,19553.0,44.0
Western and Central Europe,Austria,Heroin,2002-01-01,23547.0,92.0
Western and Central Europe,Austria,Heroin,2003-01-01,33900.0,68.0
Western and Central Europe,Austria,Heroin,2004-01-01,37260.0,75.0
Western and Central Europe,Austria,Heroin,2005-01-01,36168.0,74.0
Western and Central Europe,Austria,Heroin,2006-01-01,37640.0,69.0
Western and Central Europe,Austria,Heroin,2007-01-01,54810.0,99.0
Western and Central Europe,Austria,Heroin,2008-01-01,58824.0,110.0
Western and Central Europe,Austria,Heroin,2009-01-01,41715.0,97.0
Western and Central Europe,Austria,Heroin,2010-01-01,39741.0,93.0
Western and Central Europe,Austria,Heroin,2011-01-01,41882.0,98.0
Western and Central Europe,Austria,Heroin,2012-01-01,30928.0,64.0
Western and Central Europe,Austria,Heroin,2013-01-01,40010.0,80.0
Western and Central Europe,Austria,Heroin,2014-01-01,32899.0,53.0
Western and Central Europe,Austria,Heroin,2015-01-01,27352.0,44.0
Western and Central Europe,Austria,Heroin,2016-01-01,27685.0,66.0
Western and Central Europe,Austria,Heroin,2017-01-01,32580.38,65.0
Western and Central Europe,Austria,Heroin,2018-01-01,37475.76,71.0
Western and Central Europe,Austria,Heroin,2019-01-01,42371.14,71.0
Western and Central Europe,Austria,Heroin,2020-01-01,47266.51,68.34
Western and Central Europe,Belgium,Heroin,1990-01-01,30000.0,90.0
